Record:;0
YOffset:;-1.180000e+02
YMult:;4.000000e-04
YZero:;0.000000e+00
XIncr:;4.000000e-03
XZero:;-3.680000e+00
XUnit:;s
YUnit:;Volts
    1;-3.680000e+00;1.240000e-02
    2;-3.676000e+00;1.240000e-02
    3;-3.672000e+00;1.200000e-02
    4;-3.668000e+00;1.360000e-02
    5;-3.664000e+00;1.240000e-02
    6;-3.660000e+00;1.160000e-02
    7;-3.656000e+00;1.280000e-02
    8;-3.652000e+00;1.160000e-02
    9;-3.648000e+00;1.280000e-02
   10;-3.644000e+00;1.280000e-02
   11;-3.640000e+00;1.200000e-02
   12;-3.636000e+00;1.320000e-02
   13;-3.632000e+00;1.360000e-02
   14;-3.628000e+00;1.240000e-02
   15;-3.624000e+00;1.280000e-02
   16;-3.620000e+00;1.240000e-02
   17;-3.616000e+00;1.200000e-02
   18;-3.612000e+00;1.120000e-02
   19;-3.608000e+00;1.440000e-02
   20;-3.604000e+00;1.320000e-02
   21;-3.600000e+00;1.280000e-02
   22;-3.596000e+00;1.200000e-02
   23;-3.592000e+00;1.280000e-02
   24;-3.588000e+00;1.400000e-02
   25;-3.584000e+00;1.240000e-02
   26;-3.580000e+00;1.200000e-02
   27;-3.576000e+00;1.400000e-02
   28;-3.572000e+00;1.240000e-02
   29;-3.568000e+00;1.480000e-02
   30;-3.564000e+00;1.440000e-02
   31;-3.560000e+00;1.280000e-02
   32;-3.556000e+00;1.400000e-02
   33;-3.552000e+00;1.200000e-02
   34;-3.548000e+00;1.480000e-02
   35;-3.544000e+00;1.320000e-02
   36;-3.540000e+00;1.320000e-02
   37;-3.536000e+00;1.240000e-02
   38;-3.532000e+00;1.400000e-02
   39;-3.528000e+00;1.480000e-02
   40;-3.524000e+00;1.200000e-02
   41;-3.520000e+00;1.280000e-02
   42;-3.516000e+00;1.400000e-02
   43;-3.512000e+00;1.320000e-02
   44;-3.508000e+00;1.360000e-02
   45;-3.504000e+00;1.320000e-02
   46;-3.500000e+00;1.280000e-02
   47;-3.496000e+00;1.360000e-02
   48;-3.492000e+00;1.240000e-02
   49;-3.488000e+00;1.480000e-02
   50;-3.484000e+00;1.200000e-02
   51;-3.480000e+00;1.520000e-02
   52;-3.476000e+00;1.320000e-02
   53;-3.472000e+00;1.240000e-02
   54;-3.468000e+00;1.400000e-02
   55;-3.464000e+00;1.240000e-02
   56;-3.460000e+00;1.200000e-02
   57;-3.456000e+00;1.360000e-02
   58;-3.452000e+00;1.240000e-02
   59;-3.448000e+00;1.440000e-02
   60;-3.444000e+00;1.360000e-02
   61;-3.440000e+00;1.320000e-02
   62;-3.436000e+00;1.400000e-02
   63;-3.432000e+00;1.200000e-02
   64;-3.428000e+00;1.280000e-02
   65;-3.424000e+00;1.200000e-02
   66;-3.420000e+00;1.320000e-02
   67;-3.416000e+00;1.440000e-02
   68;-3.412000e+00;1.240000e-02
   69;-3.408000e+00;1.440000e-02
   70;-3.404000e+00;1.400000e-02
   71;-3.400000e+00;1.320000e-02
   72;-3.396000e+00;1.160000e-02
   73;-3.392000e+00;1.320000e-02
   74;-3.388000e+00;1.200000e-02
   75;-3.384000e+00;1.280000e-02
   76;-3.380000e+00;1.320000e-02
   77;-3.376000e+00;1.920000e-02
   78;-3.372000e+00;1.160000e-02
   79;-3.368000e+00;1.360000e-02
   80;-3.364000e+00;1.240000e-02
   81;-3.360000e+00;1.240000e-02
   82;-3.356000e+00;1.360000e-02
   83;-3.352000e+00;1.240000e-02
   84;-3.348000e+00;1.400000e-02
   85;-3.344000e+00;1.320000e-02
   86;-3.340000e+00;1.160000e-02
   87;-3.336000e+00;1.240000e-02
   88;-3.332000e+00;1.320000e-02
   89;-3.328000e+00;1.040000e-02
   90;-3.324000e+00;1.240000e-02
   91;-3.320000e+00;1.280000e-02
   92;-3.316000e+00;1.320000e-02
   93;-3.312000e+00;1.240000e-02
   94;-3.308000e+00;1.360000e-02
   95;-3.304000e+00;1.320000e-02
   96;-3.300000e+00;1.280000e-02
   97;-3.296000e+00;1.360000e-02
   98;-3.292000e+00;1.400000e-02
   99;-3.288000e+00;1.360000e-02
  100;-3.284000e+00;1.320000e-02
  101;-3.280000e+00;1.280000e-02
  102;-3.276000e+00;1.480000e-02
  103;-3.272000e+00;9.200000e-03
  104;-3.268000e+00;1.280000e-02
  105;-3.264000e+00;1.240000e-02
  106;-3.260000e+00;1.440000e-02
  107;-3.256000e+00;1.360000e-02
  108;-3.252000e+00;1.240000e-02
  109;-3.248000e+00;1.320000e-02
  110;-3.244000e+00;1.240000e-02
  111;-3.240000e+00;1.600000e-02
  112;-3.236000e+00;1.360000e-02
  113;-3.232000e+00;1.200000e-02
  114;-3.228000e+00;1.360000e-02
  115;-3.224000e+00;1.280000e-02
  116;-3.220000e+00;1.240000e-02
  117;-3.216000e+00;1.240000e-02
  118;-3.212000e+00;1.280000e-02
  119;-3.208000e+00;1.320000e-02
  120;-3.204000e+00;1.200000e-02
  121;-3.200000e+00;1.360000e-02
  122;-3.196000e+00;1.320000e-02
  123;-3.192000e+00;1.080000e-02
  124;-3.188000e+00;1.400000e-02
  125;-3.184000e+00;1.160000e-02
  126;-3.180000e+00;1.240000e-02
  127;-3.176000e+00;1.320000e-02
  128;-3.172000e+00;1.320000e-02
  129;-3.168000e+00;1.320000e-02
  130;-3.164000e+00;1.240000e-02
  131;-3.160000e+00;1.280000e-02
  132;-3.156000e+00;1.280000e-02
  133;-3.152000e+00;1.160000e-02
  134;-3.148000e+00;1.480000e-02
  135;-3.144000e+00;1.200000e-02
  136;-3.140000e+00;1.360000e-02
  137;-3.136000e+00;1.240000e-02
  138;-3.132000e+00;1.200000e-02
  139;-3.128000e+00;1.360000e-02
  140;-3.124000e+00;1.280000e-02
  141;-3.120000e+00;1.440000e-02
  142;-3.116000e+00;1.360000e-02
  143;-3.112000e+00;1.160000e-02
  144;-3.108000e+00;1.400000e-02
  145;-3.104000e+00;1.320000e-02
  146;-3.100000e+00;1.280000e-02
  147;-3.096000e+00;1.240000e-02
  148;-3.092000e+00;1.200000e-02
  149;-3.088000e+00;1.360000e-02
  150;-3.084000e+00;1.280000e-02
  151;-3.080000e+00;1.360000e-02
  152;-3.076000e+00;1.320000e-02
  153;-3.072000e+00;1.360000e-02
  154;-3.068000e+00;1.320000e-02
  155;-3.064000e+00;1.240000e-02
  156;-3.060000e+00;1.280000e-02
  157;-3.056000e+00;1.000000e-02
  158;-3.052000e+00;1.240000e-02
  159;-3.048000e+00;1.480000e-02
  160;-3.044000e+00;1.360000e-02
  161;-3.040000e+00;1.320000e-02
  162;-3.036000e+00;1.400000e-02
  163;-3.032000e+00;1.320000e-02
  164;-3.028000e+00;1.440000e-02
  165;-3.024000e+00;1.280000e-02
  166;-3.020000e+00;1.400000e-02
  167;-3.016000e+00;1.400000e-02
  168;-3.012000e+00;1.360000e-02
  169;-3.008000e+00;1.320000e-02
  170;-3.004000e+00;1.320000e-02
  171;-3.000000e+00;1.280000e-02
  172;-2.996000e+00;1.240000e-02
  173;-2.992000e+00;1.240000e-02
  174;-2.988000e+00;1.360000e-02
  175;-2.984000e+00;1.240000e-02
  176;-2.980000e+00;1.480000e-02
  177;-2.976000e+00;1.280000e-02
  178;-2.972000e+00;1.120000e-02
  179;-2.968000e+00;1.400000e-02
  180;-2.964000e+00;1.240000e-02
  181;-2.960000e+00;1.360000e-02
  182;-2.956000e+00;1.320000e-02
  183;-2.952000e+00;1.200000e-02
  184;-2.948000e+00;1.360000e-02
  185;-2.944000e+00;1.240000e-02
  186;-2.940000e+00;1.320000e-02
  187;-2.936000e+00;1.320000e-02
  188;-2.932000e+00;1.200000e-02
  189;-2.928000e+00;1.400000e-02
  190;-2.924000e+00;1.240000e-02
  191;-2.920000e+00;1.560000e-02
  192;-2.916000e+00;1.440000e-02
  193;-2.912000e+00;1.280000e-02
  194;-2.908000e+00;1.320000e-02
  195;-2.904000e+00;1.400000e-02
  196;-2.900000e+00;1.240000e-02
  197;-2.896000e+00;1.360000e-02
  198;-2.892000e+00;1.600000e-02
  199;-2.888000e+00;1.440000e-02
  200;-2.884000e+00;1.200000e-02
  201;-2.880000e+00;1.320000e-02
  202;-2.876000e+00;1.200000e-02
  203;-2.872000e+00;1.280000e-02
  204;-2.868000e+00;1.440000e-02
  205;-2.864000e+00;1.200000e-02
  206;-2.860000e+00;1.400000e-02
  207;-2.856000e+00;1.280000e-02
  208;-2.852000e+00;1.200000e-02
  209;-2.848000e+00;1.360000e-02
  210;-2.844000e+00;1.320000e-02
  211;-2.840000e+00;1.360000e-02
  212;-2.836000e+00;1.280000e-02
  213;-2.832000e+00;1.200000e-02
  214;-2.828000e+00;1.440000e-02
  215;-2.824000e+00;1.240000e-02
  216;-2.820000e+00;1.240000e-02
  217;-2.816000e+00;1.320000e-02
  218;-2.812000e+00;1.360000e-02
  219;-2.808000e+00;1.440000e-02
  220;-2.804000e+00;1.360000e-02
  221;-2.800000e+00;1.360000e-02
  222;-2.796000e+00;1.400000e-02
  223;-2.792000e+00;1.280000e-02
  224;-2.788000e+00;1.440000e-02
  225;-2.784000e+00;1.240000e-02
  226;-2.780000e+00;1.440000e-02
  227;-2.776000e+00;1.240000e-02
  228;-2.772000e+00;1.440000e-02
  229;-2.768000e+00;1.280000e-02
  230;-2.764000e+00;1.240000e-02
  231;-2.760000e+00;1.320000e-02
  232;-2.756000e+00;1.320000e-02
  233;-2.752000e+00;1.240000e-02
  234;-2.748000e+00;1.360000e-02
  235;-2.744000e+00;1.280000e-02
  236;-2.740000e+00;1.360000e-02
  237;-2.736000e+00;1.360000e-02
  238;-2.732000e+00;1.400000e-02
  239;-2.728000e+00;1.480000e-02
  240;-2.724000e+00;1.360000e-02
  241;-2.720000e+00;1.440000e-02
  242;-2.716000e+00;1.400000e-02
  243;-2.712000e+00;1.400000e-02
  244;-2.708000e+00;1.400000e-02
  245;-2.704000e+00;1.240000e-02
  246;-2.700000e+00;1.440000e-02
  247;-2.696000e+00;1.320000e-02
  248;-2.692000e+00;1.240000e-02
  249;-2.688000e+00;1.480000e-02
