Record:;0
YOffset:;-1.180000e+02
YMult:;4.000000e-04
YZero:;0.000000e+00
XIncr:;1.000000e-02
XZero:;-1.860000e+01
XUnit:;s
YUnit:;Volts
    1;-1.860000e+01;1.520000e-02
    2;-1.859000e+01;1.480000e-02
    3;-1.858000e+01;1.560000e-02
    4;-1.857000e+01;1.400000e-02
    5;-1.856000e+01;1.440000e-02
    6;-1.855000e+01;1.480000e-02
    7;-1.854000e+01;1.600000e-02
    8;-1.853000e+01;1.440000e-02
    9;-1.852000e+01;1.440000e-02
   10;-1.851000e+01;1.440000e-02
   11;-1.850000e+01;1.560000e-02
   12;-1.849000e+01;1.280000e-02
   13;-1.848000e+01;1.440000e-02
   14;-1.847000e+01;1.480000e-02
   15;-1.846000e+01;1.360000e-02
   16;-1.845000e+01;1.480000e-02
   17;-1.844000e+01;1.560000e-02
   18;-1.843000e+01;1.520000e-02
   19;-1.842000e+01;1.560000e-02
   20;-1.841000e+01;1.480000e-02
   21;-1.840000e+01;1.360000e-02
   22;-1.839000e+01;1.440000e-02
   23;-1.838000e+01;1.520000e-02
   24;-1.837000e+01;1.440000e-02
   25;-1.836000e+01;1.360000e-02
   26;-1.835000e+01;1.480000e-02
   27;-1.834000e+01;1.320000e-02
   28;-1.833000e+01;1.400000e-02
   29;-1.832000e+01;1.560000e-02
   30;-1.831000e+01;1.480000e-02
   31;-1.830000e+01;1.320000e-02
   32;-1.829000e+01;1.440000e-02
   33;-1.828000e+01;1.520000e-02
   34;-1.827000e+01;1.520000e-02
   35;-1.826000e+01;1.480000e-02
   36;-1.825000e+01;1.440000e-02
   37;-1.824000e+01;1.480000e-02
   38;-1.823000e+01;1.360000e-02
   39;-1.822000e+01;1.360000e-02
   40;-1.821000e+01;1.520000e-02
   41;-1.820000e+01;1.440000e-02
   42;-1.819000e+01;1.520000e-02
   43;-1.818000e+01;1.440000e-02
   44;-1.817000e+01;1.600000e-02
   45;-1.816000e+01;1.440000e-02
   46;-1.815000e+01;1.440000e-02
   47;-1.814000e+01;1.520000e-02
